
Quadro extraído em 10 de Junho de 2026 (16:28:10)
http://www.ine.pt



Período de referência dos dados;Local de residência à data dos Censos [2021] (NUTS - 2013);População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;
;;HM;;;;H;;;;M;;;;
;;Grupo etário (Por ciclos de vida);;;;;;;;;;;;
;;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;
;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
2021;1601: Arcos de Valdevez;20718;1790;9547;7458;9483;897;4597;3047;11235;893;4950;4411;
;1602: Caminha;15797;1371;8037;4661;7345;691;3779;1974;8452;680;4258;2687;
;1603: Melgaço;7773;519;3369;3307;3452;250;1573;1334;4321;269;1796;1973;
;1604: Monção;17816;1412;8609;6077;8160;680;4125;2473;9656;732;4484;3604;
;1605: Paredes de Coura;8632;760;4265;2658;4144;408;2149;1114;4488;352;2116;1544;
;1606: Ponte da Barca;11044;1073;5495;3331;5139;572;2631;1381;5905;501;2864;1950;
;1607: Ponte de Lima;41164;4551;21652;10069;19393;2330;10421;4169;21771;2221;11231;5900;
;1608: Valença;13623;1337;7042;3614;6420;684;3361;1529;7203;653;3681;2085;
;1609: Viana do Castelo;85778;8669;45400;21492;40499;4401;21611;9240;45279;4268;23789;12252;
;1610: Vila Nova de Cerveira;8921;856;4602;2412;4320;473;2296;1005;4601;383;2306;1407;
;0301: Amares;18595;2183;10008;3998;9078;1145;4860;1792;9517;1038;5148;2206;
;0302: Barcelos;116752;14057;64965;23015;56218;7262;31489;9934;60534;6795;33476;13081;
;0303: Braga;193324;21976;109422;35173;92102;11222;51871;15250;101222;10754;57551;19923;
;0306: Esposende;35132;3896;19419;7041;16789;1940;9248;3116;18343;1956;10171;3925;
;0310: Terras de Bouro;6358;641;3223;1849;3074;336;1585;819;3284;305;1638;1030;
;0313: Vila Verde;46444;5369;24809;10138;22223;2715;11981;4344;24221;2654;12828;5794;
;0304: Cabeceiras de Basto;15558;1826;8291;3524;7559;941;4080;1546;7999;885;4211;1978;
;0307: Fafe;48497;5292;26336;11186;23087;2680;12635;4765;25410;2612;13701;6421;
;0308: Guimarães;156830;17366;88552;31327;75821;8967;43043;13680;81009;8399;45509;17647;
;1705: Mondim de Basto;6410;703;3262;1793;3099;360;1589;791;3311;343;1673;1002;
;0309: Póvoa de Lanhoso;21775;2511;11729;4876;10450;1293;5590;2168;11325;1218;6139;2708;
;0311: Vieira do Minho;11955;1185;6089;3530;5713;618;2925;1571;6242;567;3164;1959;
;0312: Vila Nova de Famalicão;133534;15041;75099;26285;64449;7686;36577;11434;69085;7355;38522;14851;
;0314: Vizela;23896;2828;13819;4183;11645;1450;6754;1872;12251;1378;7065;2311;
;0104: Arouca;21146;2286;11155;5031;10170;1112;5557;2152;10976;1174;5598;2879;
;0107: Espinho;31043;3126;15843;8774;14461;1603;7522;3700;16582;1523;8321;5074;
;1304: Gondomar;164257;17759;90939;35095;77991;9113;43135;15327;86266;8646;47804;19768;
;1306: Maia;134977;14792;75568;26136;64127;7528;35798;11371;70850;7264;39770;14765;
;1308: Matosinhos;172557;16954;94467;39502;81225;8619;44579;16983;91332;8335;49888;22519;
;0113: Oliveira de Azeméis;66175;6910;36317;15269;32020;3433;17838;6776;34155;3477;18479;8493;
;1310: Paredes;84354;10690;48179;13792;40842;5471;23302;6114;43512;5219;24877;7678;
;1312: Porto;231800;23236;121920;60210;106153;11761;57423;23503;125647;11475;64497;36707;
;1313: Póvoa de Varzim;64255;7386;35120;13222;30238;3790;16499;5648;34017;3596;18621;7574;
;0109: Santa Maria da Feira;136674;14870;76011;28627;65880;7569;36889;12609;70794;7301;39122;16018;
;1314: Santo Tirso;67709;6995;36701;16668;32241;3555;17658;7298;35468;3440;19043;9370;
;0116: São João da Madeira;22143;2336;12221;4906;10380;1197;5707;2082;11763;1139;6514;2824;
;1318: Trofa;38548;4315;21732;7681;18473;2188;10439;3419;20075;2127;11293;4262;
;0119: Vale de Cambra;21269;1992;11017;5994;10278;1035;5417;2634;10991;957;5600;3360;
;1315: Valongo;94672;10313;53208;18405;44973;5222;25202;7998;49699;5091;28006;10407;
;1316: Vila do Conde;80825;8623;44656;16430;38717;4359;21570;7070;42108;4264;23086;9360;
;1317: Vila Nova de Gaia;303824;32061;167841;65010;144099;16356;79308;28431;159725;15705;88533;36579;
;1702: Boticas;5000;369;2350;1855;2392;170;1177;823;2608;199;1173;1032;
;1703: Chaves;37590;3330;18432;12091;17838;1711;8835;5366;19752;1619;9597;6725;
;1706: Montalegre;9261;689;4216;3671;4470;353;2143;1640;4791;336;2073;2031;
;1709: Ribeira de Pena;5884;502;2924;1844;2900;254;1464;838;2984;248;1460;1006;
;1712: Valpaços;14701;1122;6430;5949;6888;563;3115;2584;7813;559;3315;3365;
;1713: Vila Pouca de Aguiar;11812;1013;5702;4078;5614;493;2788;1835;6198;520;2914;2243;
;1301: Amarante;52116;6053;28311;11580;24740;3062;13437;5144;27376;2991;14874;6436;
;1302: Baião;17534;1999;9558;4028;8341;1005;4601;1704;9193;994;4957;2324;
;0106: Castelo de Paiva;15586;1906;8600;3251;7544;962;4261;1401;8042;944;4339;1850;
;0305: Celorico de Basto;17643;1970;9353;4217;8421;1018;4606;1739;9222;952;4747;2478;
;1804: Cinfães;17730;1911;9304;4500;8613;984;4578;1972;9117;927;4726;2528;
;1303: Felgueiras;55848;6814;31906;10051;26964;3538;15420;4402;28884;3276;16486;5649;
;1305: Lousada;47364;6081;27397;7285;22890;3101;13169;3220;24474;2980;14228;4065;
;1307: Marco de Canaveses;49541;6276;27816;9014;23771;3194;13376;3899;25770;3082;14440;5115;
